mi shivaji raje bhosale boltoy
dr. kotnis ki amar kahani
ucha dar babe nanak da
kasam paida karne wale ki
ee lokam ivide kure manushyar
yeh woh manzil to nahin
salim langde pe mat ro
baaghi: a rebel for love
dil hai ke manta nahin
phir teri kahani yaad payee
dil apna aur preet paraee
hum hain rahi pyar ke
ab to aaja saajan mere
tara rani ki amar katha
kaise kahun i love you
teri jyot jale din raat
jai hari hara putra ayyappa
mere qadam tere pyar mein
kis kaam ke yeh rishte
ravan raaj: a true story
sarhad: the border of crime
oh darling yeh hai india
is raat ki subah nahin
aisi bhi kya jaldi hai
dushmani: a violent love story
the making of the mahatma
the ghost and the darkness
salma pe dil aa gaya
pyaar to hona hi tha
jab pyaar kisise hota hai
pyaar kiya to darna kya
yeh hai mumbai meri jaan
hum tum pe marte hain
hote hote pyaar ho gaya
hum dil de chuke sanam
karobaar: the business of love
dil pe mat le yaar!!
hamara dil aapke paas hai
kahin pyaar na ho jaaye
har dil jo pyar karega...
phir bhi dil hai hindustani
yeh raaste hain pyaar ke
mujhe meri biwi se bachaao
dil ne phir yaad kiya
chhupa rustam: a musical thriller
bas itna sa khwaab hai
the laughing club of india
rehnaa hai terre dil mein
aap mujhe achche lagne lage
karz: the burden of truth
tum se achcha kaun hai
ek chotti si love story
mere yaar ki shaadi hai
mumbai se aaya mera dost
thoda tum badlo thoda hum
meenaxi: tale of 3 cities
police force: an inside story
dil ne jise apna kahaa
ab tumhare hawale watan saathiyo
barsaat: a sublime love story
main meri patni aur woh
home delivery: aapko... ghar tak
maine gandhi ko nahi mara
vaah! life ho toh aisi!
mangal pandey - the rising
lucky: no time for love
a date with shahrukh khan
waqt: the race against time
waris shah: ishq daa waaris
hope and a little sugar
jawani diwani: a youthful joyride
gangster : a love story
yun hota to kya hota
shaadi karke phas gaya yaar
mp3: mera pehla pehla pyaar
aap kaa surroor: the moviee
chain kulli ki main kulli
red : the dark side
lovesongs: yesterday, today & tomorrow
jaane tu... ya jaane na
money hai toh honey hai
my name is anthony gonsalves
rama rama kya hai dramaaa
new york, i love you
rab ne bana di jodi
suno na.. ek nanhi aawaz
ek the power of one
shahrukh bola "khoobsurat hai tu"
the untitled karthik krishnan project
ada... a way of life
iti mrinalini: an unfinished letter...
red alert: the war within
jaane kahan se aayi hai
khelein hum jee jaan sey
that girl in yellow boots
chala mussaddi - office office
dil toh baccha hai ji
luv shuv tey chicken khurana
ek main aur ekk tu
tere naal love ho gaya
daal mein kuch kaala hai
kyaa super kool hain hum
hum hai raahi car ke
3g - a killer connection
bin phere free me ttere
matru ki bijlee ka mandola
abcd (any body can dance)
saheb biwi aur gangster returns
kabhi yun bhi toh ho
the lost salesman of delhi
kala sach: the black truth
bhopal: a prayer for rain
roar: tigers of the sundarbans
machhli jal ki rani hai
m3 - midsummer midnight mumbai
18.11 (a code of secrecy...!)
awake: the life of yogananda
balwinder singh famous ho gaya
khamoshiyan - silences have secrets
any body can dance 2
chal guru ho ja shuru
jee lene do ek pal
ek adbhut dakshina guru dakshina
motu patlu: king of kings
aakhri sauda: the last deal
life ki aisi ki taisi
msg the warrior: lion heart
a death in the gunj
sunshine music tours and travels
the legend of michael mishra
hai apna dil toh awara
buddha in a traffic jam
kyaa kool hain hum 3
jeena isi ka naam hai
